#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-24-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.204175 seconds
Distributing the actor graph took: 41.4174 seconds
Added actors in: 0.136771 seconds.
Initialized connections of actors in: 0.0478908 seconds.
Async Migration only
Output number: 1, Rank-12: (1) 78 | (2) 1002 | (3)7.78443/100 | (4) 33, 33 | (5) 79.3096 | (6) 44.5612 | (7) 0.000194488 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (203413, 203413) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 180.154 | (25) (33.859, 61-55)
Output number: 1, Rank-14: (1) 70 | (2) 1017 | (3)6.88299/100 | (4) 34, 34 | (5) 75.1849 | (6) 46.4856 | (7) 0.00023205 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.2222/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (198492, 198492) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 177.727 | (25) (33.7092, 139-12)
Output number: 1, Rank-15: (1) 75 | (2) 1001 | (3)7.49251/100 | (4) 29, 29 | (5) 87.5171 | (6) 40.6607 | (7) 0.000191733 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.1111/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (147495, 147495) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 209.245 | (25) (33.2147, 128-5)
Output number: 1, Rank-17: (1) 101 | (2) 1558 | (3)6.48267/100 | (4) 44, 44 | (5) 83.9702 | (6) 42.2813 | (7) 0.000199828 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (176102, 176102) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 182.156 | (25) (33.7328, 18-134)
Output number: 1, Rank-18: (1) 108 | (2) 1487 | (3)7.26295/100 | (4) 20, 20 | (5) 88.8006 | (6) 40.9174 | (7) 0.000232345 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.6667/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (130094, 130094) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 205.731 | (25) (33.5232, 13-132)
Output number: 1, Rank-19: (1) 75 | (2) 998 | (3)7.51503/100 | (4) 16, 16 | (5) 84.0174 | (6) 43.4595 | (7) 0.000224667 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70.5556/100 | (15) 0 | (17) (16, 16) | (18) X | (19) (146303, 146303) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 204.311 | (25) (33.4669, 0-9)
Output number: 1, Rank-20: (1) 79 | (2) 945 | (3)8.35979/100 | (4) 21, 21 | (5) 86.1713 | (6) 41.4284 | (7) 0.000283017 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70.5556/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (164074, 164074) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 207.677 | (25) (33.9778, 126-135)
Output number: 1, Rank-22: (1) 71 | (2) 907 | (3)7.828/100 | (4) 27, 27 | (5) 108.043 | (6) 31.9374 | (7) 0.000209185 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.2222/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (103874, 103874) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 208.892 | (25) (33.5834, 129-11)
Output number: 1, Rank-23: (1) 92 | (2) 1518 | (3)6.06061/100 | (4) 23, 23 | (5) 108.655 | (6) 32.6392 | (7) 0.000190319 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 78.3333/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (95370, 95370) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 213.962 | (25) (35.1638, 130-18)
Output number: 1, Rank-24: (1) 101 | (2) 1077 | (3)9.3779/100 | (4) 32, 32 | (5) 102.907 | (6) 34.492 | (7) 0.00016066 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (142241, 142241) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 213.447 | (25) (33.9626, 142-5)
Output number: 1, Rank-26: (1) 69 | (2) 1526 | (3)4.52163/100 | (4) 17, 17 | (5) 108.017 | (6) 33.1428 | (7) 0.000230573 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 78.3333/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (95331, 95331) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 205.565 | (25) (33.745, 134-3)
