#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-random-4-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00275716 seconds
Distributing the actor graph took: 41.5013 seconds
Added actors in: 0.471613 seconds.
Initialized connections of actors in: 0.0464006 seconds.
Async Migration only
Output number: 1, Rank-20: (1) 1 | (2) 1713 | (3)0.0583771/100 | (4) 189, 189 | (5) 4.28038 | (6) 67.2325 | (7) 0.000142246 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (116118, 116118) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.3573 | (25) (0.44843, 134-36) | (26) 100605 | (27) -0.63486
Output number: 1, Rank-21: (1) 15 | (2) 1706 | (3)0.87925/100 | (4) 199, 199 | (5) 4.31266 | (6) 65.1364 | (7) 0.000140342 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.3333/100 | (15) 0 | (17) (199, 199) | (18) X | (19) (119298, 119298) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.0679 | (25) (0.40272, 110-4) | (26) 71117 | (27) -0.31711
Output number: 1, Rank-27: (1) 2 | (2) 1710 | (3)0.116959/100 | (4) 190, 190 | (5) 4.44053 | (6) 66.8505 | (7) 0.000266478 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (118320, 118320) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.4803 | (25) (0.46181, 139-27) | (26) 92355 | (27) -0.78385
Output number: 1, Rank-0: (1) 13 | (2) 1715 | (3)0.758017/100 | (4) 194, 194 | (5) 3.92527 | (6) 68.7359 | (7) 0.000184093 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (194, 194) | (18) X | (19) (105035, 105035) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.9992 | (25) (0.43825, 71-43) | (26) 24854 | (27) -2.18094
Output number: 1, Rank-2: (1) 0 | (2) 1718 | (3)0/100 | (4) 184, 184 | (5) 3.95984 | (6) 68.299 | (7) 0.000245635 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (105522, 105522) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.9442 | (25) (0.49105, 103-45) | (26) 114374 | (27) -0.3178
Output number: 1, Rank-8: (1) 0 | (2) 1720 | (3)0/100 | (4) 185, 185 | (5) 4.15043 | (6) 68.6854 | (7) 0.000252743 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (111401, 111401) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.0254 | (25) (0.58611, 89-16) | (26) 91680 | (27) -0.3592
Output number: 1, Rank-14: (1) 0 | (2) 1709 | (3)0/100 | (4) 180, 180 | (5) 4.01334 | (6) 69.9707 | (7) 0.000249752 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40.5556/100 | (15) 0 | (17) (180, 180) | (18) X | (19) (107370, 107370) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 61.6538 | (25) (0.44305, 129-66) | (26) 121686 | (27) -0.31061
Output number: 1, Rank-18: (1) 0 | (2) 1721 | (3)0/100 | (4) 185, 185 | (5) 4.05632 | (6) 68.0924 | (7) 0.000101546 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (108233, 108233) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.7901 | (25) (0.45871, 110-46) | (26) 113001 | (27) -0.43034
Output number: 1, Rank-19: (1) 0 | (2) 1718 | (3)0/100 | (4) 189, 189 | (5) 4.31303 | (6) 67.9933 | (7) 0.000271133 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (114259, 114259) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.7211 | (25) (0.50491, 120-49) | (26) 112042 | (27) -0.63249
Output number: 1, Rank-1: (1) 0 | (2) 1721 | (3)0/100 | (4) 189, 189 | (5) 4.17769 | (6) 68.1401 | (7) 7.4124e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (110866, 110866) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.0522 | (25) (0.44451, 96-37) | (26) 104169 | (27) -1.12843
Output number: 1, Rank-3: (1) 58 | (2) 1488 | (3)3.89785/100 | (4) 195, 195 | (5) 143.352 | (6) 13.6307 | (7) 0.000259687 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 86.6667/100 | (15) 0 | (17) (195, 195) | (18) X | (19) (117135, 117135) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 2757.52 | (25) (33.4605, 72-59) | (26) 1 | (27) 129.877
