#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-1-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00140804 seconds
Distributing the actor graph took: 43.3275 seconds
Added actors in: 1.76254 seconds.
Initialized connections of actors in: 0.0487924 seconds.
Async Migration only
Output number: 1, Rank-18: (1) 245 | (2) 1650 | (3)14.8485/100 | (4) 984, 984 | (5) 23.031 | (6) 43.2205 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (984, 984) | (18) X | (19) (374261, 374261) | (20) 1 | (21) 0 | (22) 0 | (23) 13 | (24) 691.499 | (25) (33.4254, 14-1) | (26) 287 | (27) 37.3734
Output number: 1, Rank-26: (1) 11 | (2) 1739 | (3)0.632547/100 | (4) 756, 756 | (5) 10.6554 | (6) 54.2115 | (7) 0.000101358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35.5556/100 | (15) 0 | (17) (756, 756) | (18) X | (19) (269962, 269962) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 283.506 | (25) (0.61755, 87-38) | (26) 21434 | (27) -0.68568
Output number: 1, Rank-27: (1) 238 | (2) 322 | (3)73.913/100 | (4) 954, 954 | (5) 93.0211 | (6) 22.2639 | (7) 6.6862e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 63.8889/100 | (15) 0 | (17) (954, 954) | (18) X | (19) (363571, 363571) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2425.48 | (25) (34.0804, 135-6) | (26) 114 | (27) 33.0555
Output number: 1, Rank-11: (1) 156 | (2) 1684 | (3)9.26366/100 | (4) 890, 890 | (5) 14.4612 | (6) 47.404 | (7) 9.813e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 33.8889/100 | (15) 0 | (17) (890, 890) | (18) X | (19) (359431, 359431) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 336.935 | (25) (0.58081, 116-132) | (26) 12935 | (27) -0.26049
Output number: 1, Rank-12: (1) 5 | (2) 1727 | (3)0.289519/100 | (4) 755, 755 | (5) 12.3112 | (6) 51.2787 | (7) 6.9513e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35/100 | (15) 0 | (17) (755, 755) | (18) X | (19) (302588, 302588) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 284.367 | (25) (0.56405, 130-91) | (26) 92038 | (27) -0.64283
Output number: 1, Rank-14: (1) 142 | (2) 1696 | (3)8.37264/100 | (4) 894, 894 | (5) 13.1635 | (6) 46.9093 | (7) 8.8031e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 33.3333/100 | (15) 0 | (17) (894, 894) | (18) X | (19) (335996, 335996) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 332.405 | (25) (0.60192, 33-60) | (26) 10677 | (27) -1.84198
Output number: 1, Rank-17: (1) 179 | (2) 1678 | (3)10.6675/100 | (4) 918, 918 | (5) 13.9291 | (6) 49.0765 | (7) 5.615e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35/100 | (15) 0 | (17) (918, 918) | (18) X | (19) (345364, 345364) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 348.035 | (25) (0.61873, 68-38) | (26) 247 | (27) 0.36348
Output number: 1, Rank-24: (1) 330 | (2) 1502 | (3)21.9707/100 | (4) 1075, 1075 | (5) 69.7877 | (6) 27.9327 | (7) 4.5277e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 53.8889/100 | (15) 0 | (17) (1075, 1075) | (18) X | (19) (405341, 405341) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2166.22 | (25) (33.7407, 142-12) | (26) 47588 | (27) -1.03264
Output number: 1, Rank-2: (1) 113 | (2) 1707 | (3)6.6198/100 | (4) 840, 840 | (5) 12.4781 | (6) 49.9129 | (7) 9.2236e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 34.4444/100 | (15) 0 | (17) (840, 840) | (18) X | (19) (317691, 317691) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 313.733 | (25) (0.57065, 14-83) | (26) 13428 | (27) -0.71224
Output number: 1, Rank-3: (1) 92 | (2) 1698 | (3)5.41814/100 | (4) 825, 825 | (5) 13.6537 | (6) 47.9943 | (7) 9.0159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 33.8889/100 | (15) 0 | (17) (825, 825) | (18) X | (19) (335679, 335679) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 317.375 | (25) (0.58026, 32-133) | (26) 27267 | (27) -1.37605
Output number: 1, Rank-7: (1) 137 | (2) 1634 | (3)8.38433/100 | (4) 869, 869 | (5) 77.9979 | (6) 27.5289 | (7) 9.9571e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 58.3333/100 | (15) 0 | (17) (869, 869) | (18) X | (19) (325441, 325441) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2373.31 | (25) (34.0683, 69-85) | (26) 2601 | (27) -0.71022
