#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-32-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.44863 seconds
Distributing the actor graph took: 42.1073 seconds
Added actors in: 0.116455 seconds.
Initialized connections of actors in: 0.0522152 seconds.
Async Migration only
Output number: 1, Rank-9: (1) 23 | (2) 435 | (3)5.28736/100 | (4) 18, 18 | (5) 17.9686 | (6) 69.9332 | (7) 0.000371078 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (67384, 67384) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 136.298 | (25) (32.9184, 67-57)
Output number: 1, Rank-12: (1) 29 | (2) 560 | (3)5.17857/100 | (4) 26, 26 | (5) 14.6663 | (6) 70.3881 | (7) 0.000398914 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (81046, 81046) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 108.23 | (25) (33.5542, 142-11)
Output number: 1, Rank-15: (1) 28 | (2) 452 | (3)6.19469/100 | (4) 27, 27 | (5) 15.3316 | (6) 69.6923 | (7) 0.000350049 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (88333, 88333) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 108.722 | (25) (32.9072, 86-89)
Output number: 1, Rank-16: (1) 35 | (2) 1678 | (3)2.08582/100 | (4) 57, 57 | (5) 13.0601 | (6) 69.4081 | (7) 0.000395046 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 45.5556/100 | (15) 0 | (17) (57, 57) | (18) X | (19) (115932, 115932) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 88.8459 | (25) (33.3168, 63-76)
Output number: 1, Rank-17: (1) 32 | (2) 1698 | (3)1.88457/100 | (4) 21, 21 | (5) 22.4581 | (6) 68.8096 | (7) 0.00038629 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50.5556/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (89203, 89203) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 107.136 | (25) (33.4932, 58-87)
Output number: 1, Rank-18: (1) 29 | (2) 1636 | (3)1.77262/100 | (4) 18, 18 | (5) 24.1089 | (6) 67.7438 | (7) 0.000302444 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50.5556/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (60109, 60109) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 107.464 | (25) (34.0452, 69-70)
Output number: 1, Rank-20: (1) 27 | (2) 446 | (3)6.05381/100 | (4) 7, 7 | (5) 23.8844 | (6) 68.8275 | (7) 0.000276536 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 51.1111/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (58269, 58269) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 108.167 | (25) (35.6752, 63-79)
Output number: 1, Rank-21: (1) 31 | (2) 1696 | (3)1.82783/100 | (4) 20, 20 | (5) 22.7698 | (6) 69.3082 | (7) 0.000329158 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 51.1111/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (78876, 78876) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 105.576 | (25) (33.6448, 71-81)
Output number: 1, Rank-22: (1) 33 | (2) 522 | (3)6.32184/100 | (4) 23, 23 | (5) 26.7774 | (6) 65.5272 | (7) 0.000306186 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 51.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (72680, 72680) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 112.228 | (25) (35.1297, 80-89)
Output number: 1, Rank-25: (1) 37 | (2) 479 | (3)7.72443/100 | (4) 24, 24 | (5) 20.6408 | (6) 67.7468 | (7) 0.000372051 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.8889/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (79139, 79139) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 76.6306 | (25) (33.7035, 79-77)
Output number: 1, Rank-27: (1) 37 | (2) 1682 | (3)2.19976/100 | (4) 19, 19 | (5) 19.9759 | (6) 69.5158 | (7) 0.000363082 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 49.4444/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (63194, 63194) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 110.141 | (25) (34.9502, 136-135)
